user_id,product_id,action,timestamp
U001,P0906,remove_from_cart,2025-01-01 06:23:00
U001,P0111,click,2025-01-06 00:05:00
U001,P0700,add_to_cart,2025-01-06 04:07:00
U001,P0375,search,2025-01-06 09:25:00
U001,P0116,search,2025-01-08 00:35:00
U001,P0475,add_to_cart,2025-01-09 14:03:00
U001,P0306,click,2025-01-09 17:35:00
U001,P0010,click,2025-01-11 04:01:00
U001,P0048,search,2025-01-11 05:37:00
U001,P0801,click,2025-01-13 01:17:00
U001,P0365,click,2025-01-14 15:27:00
U001,P0187,click,2025-01-19 20:49:00
U001,P0083,click,2025-01-21 08:41:00
U001,P0464,click,2025-01-23 23:11:00
U001,P0750,search,2025-01-27 07:01:00
U001,P0075,add_to_cart,2025-01-31 02:33:00
U001,P0586,click,2025-02-02 02:49:00
U001,P0764,add_to_cart,2025-02-02 07:55:00
U001,P0328,click,2025-02-04 18:10:00
U001,P0336,purchase,2025-02-06 18:22:00
U001,P0594,search,2025-02-11 05:23:00
U001,P0306,add_to_cart,2025-02-12 00:20:00
U001,P0598,search,2025-02-13 15:22:00
U001,P0662,add_to_cart,2025-02-18 04:01:00
U001,P0115,click,2025-02-18 06:15:00
U001,P0169,search,2025-02-25 12:07:00
U001,P0639,purchase,2025-02-26 22:01:00
U001,P0992,purchase,2025-03-01 00:17:00
U001,P0178,add_to_cart,2025-03-03 09:55:00
U001,P0643,click,2025-03-03 16:01:00
U001,P0806,review,2025-03-05 03:21:00
U001,P0531,search,2025-03-10 02:38:00
U001,P0705,purchase,2025-03-11 06:13:00
U001,P0289,search,2025-03-11 12:08:00
U001,P0104,remove_from_wishlist,2025-03-12 09:36:00
U001,P0071,add_to_cart,2025-03-12 10:15:00
U001,P0469,search,2025-03-14 04:47:00
U001,P0018,click,2025-03-14 15:26:00
U001,P0992,search,2025-03-15 18:41:00
U001,P0407,add_to_cart,2025-03-21 17:06:00
U001,P0844,click,2025-03-22 20:23:00
U001,P0041,click,2025-03-23 15:17:00
U001,P0127,search,2025-03-23 20:29:00
U001,P0777,click,2025-03-24 13:54:00
U001,P0194,add_to_cart,2025-03-25 00:50:00
U001,P0024,click,2025-03-25 16:35:00
U001,P0465,search,2025-03-27 09:36:00
U001,P0993,add_wishlist,2025-03-30 01:54:00
U001,P0931,search,2025-03-31 16:33:00
U001,P0467,click,2025-04-02 19:47:00
U001,P0626,search,2025-04-03 12:52:00
U001,P0185,add_to_cart,2025-04-08 23:02:00
U001,P0466,search,2025-04-11 08:42:00
U001,P0866,review,2025-04-13 00:30:00
U001,P0189,click,2025-04-13 09:52:00
U001,P0972,click,2025-04-14 02:56:00
U001,P0412,click,2025-04-14 11:37:00
U001,P0436,search,2025-04-14 23:19:00
U001,P0834,purchase,2025-04-15 16:01:00
U001,P0731,search,2025-04-17 05:14:00
U001,P0585,search,2025-04-17 07:19:00
U001,P0607,click,2025-04-17 07:30:00
U001,P0199,click,2025-04-17 20:04:00
